sample_date,wwtp,dilution,filt_protocol,replicate,target,TotalDroplets,SARS-N1_PositiveDroplets,SARS-N1_PosCtrl-PosDrops,SARS-N1_NTCtrl-PosDrops,SARS-N1_(gc/rxn),IBV-M_PositiveDroplets,IBV-M_PosCtrl-PosDrops,IBV-M_NTCtrl-PosDrops,IBV-M_(gc/rxn),IAV-M_PositiveDroplets,IAV-M_PosCtrl-PosDrops,IAV-M_NTCtrl-PosDrops,IAV-M_(gc/rxn),SARS-N2_PositiveDroplets,SARS-N2_PosCtrl-PosDrops,SARS-N2_NTCtrl-PosDrops,SARS-N2_(gc/rxn),RSV_PositiveDroplets,RSV_PosCtrl-PosDrops,RSV_NTCtrl-PosDrops,RSV_(gc/rxn),SARS-N1_(gc/eluate),IBV-M_(gc/eluate),IAV-M_(gc/eluate),SARS-N2_(gc/eluate),RSV_(gc/eluate),cases_(#/day/1e5-ppl),flowrate_(kL/day),Population,IAV-M_normLoad-(gc/d/1e5),IBV-M_normLoad-(gc/d/1e5),RSV_normLoad-(gc/d/1e5),IAV-M_normLoad-range,IBV-M_normLoad-range,RSV_normLoad-range
2021-12-11,STEP Aire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.90155493159145,181727.0,454000,,,,,,
2021-12-12,ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.445937078125,29898.87893676758,64000,,,,,,
2021-12-12,ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.090636454545454,12191.0,55000,,,,,,
2021-12-12,ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.34609111290322,19904.0,62000,,,,,,
2021-12-12,ARA Werdhölzli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.80277576008493,183438.3224999996,471000,,,,,,
2021-12-12,CDA Lugano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.05287977419355,42842.0,124000,,,,,,
2021-12-12,STEP Aire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.60853679851075,161342.0,454000,,,,,,
2021-12-13,ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.61441575,26278.48558044434,64000,,,,,,
2021-12-13,ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.43780401818181,15388.0,55000,,,,,,
2021-12-13,ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.65981369354839,20310.0,62000,,,,,,
2021-12-13,ARA Werdhölzli,3.0,v4.0,A,respv4,27569.5,,,,,0.0,3542.0,0.0,0.0,9.0,1559.0,0.0,15.723801199028811,313.0,1180.0,0.0,550.0794604336135,3.0,2026.0,0.0,5.238246029067744,,0.0,754.7424575533829,26403.814100813444,251.43580939525174,35.70421841401274,177421.06755,471000,710760151509.7227,0.0,236783491099.80832,77495946467.74329,0.0,78484705449.33206
2021-12-13,ARA Werdhölzli,3.0,v4.0,A,sn1flu,26070.0,194.0,2171.0,0.0,360.19627658834474,0.0,4796.0,0.0,0.0,1.0,4870.0,0.0,1.8907817893230108,,,,,,,,,17289.421276240544,0.0,90.75752588750451,,,35.70421841401274,177421.06755,471000,85468668424.40451,0.0,,85468668424.40451,0.0,
2021-12-13,CDA Lugano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.95483246774194,45093.0,124000,,,,,,
